Kennziffer;Raumeinheit;Aggregat;Beschäftigte Tertiärer Sektor;Bandbreitenverfügbarkeit mindestens 50 Mbit/s
"09776";"Lindau (Bodensee)";"Kreise";"53,49";"92,43"
"09777";"Ostallgäu";"Kreise";"50,27";"96,02"
"09778";"Unterallgäu";"Kreise";"45,46";"91,98"
"09779";"Donau-Ries";"Kreise";"51,43";"83,62"
"09780";"Oberallgäu";"Kreise";"61,70";"95,98"
"10041";"Regionalverband Saarbrücken";"Kreise";"77,57";"99,29"
"10042";"Merzig-Wadern";"Kreise";"70,94";"94,07"
"10043";"Neunkirchen";"Kreise";"69,26";"98,78"
"10044";"Saarlouis";"Kreise";"61,70";"97,74"
"10045";"Saarpfalz-Kreis";"Kreise";"62,37";"99,19"
"10046";"St. Wendel";"Kreise";"62,40";"94,59"
"11000";"Berlin, Stadt";"Kreise";"87,02";"98,53"
"12051";"Brandenburg an der Havel, Stadt";"Kreise";"76,12";"92,39"
"12052";"Cottbus, Stadt";"Kreise";"87,32";"98,33"
"12053";"Frankfurt (Oder), Stadt";"Kreise";"88,12";"96,56"
"12054";"Potsdam, Stadt";"Kreise";"92,17";"98,76"
"12060";"Barnim";"Kreise";"77,61";"92,69"
"12061";"Dahme-Spreewald";"Kreise";"75,37";"93,48"
"12062";"Elbe-Elster";"Kreise";"62,56";"92,23"
"12063";"Havelland";"Kreise";"71,60";"92,85"
"12064";"Märkisch-Oderland";"Kreise";"74,80";"85,65"
"12065";"Oberhavel";"Kreise";"69,25";"92,04"
"12066";"Oberspreewald-Lausitz";"Kreise";"65,35";"93,26"
"12067";"Oder-Spree";"Kreise";"67,19";"89,55"
"12068";"Ostprignitz-Ruppin";"Kreise";"69,89";"90,62"
"12069";"Potsdam-Mittelmark";"Kreise";"75,63";"92,98"
"12070";"Prignitz";"Kreise";"64,05";"92,20"
"12071";"Spree-Neiße";"Kreise";"54,88";"88,15"
"12072";"Teltow-Fläming";"Kreise";"67,41";"94,31"
"12073";"Uckermark";"Kreise";"68,16";"88,64"
"13003";"Rostock";"Kreise";"83,23";"98,87"
"13004";"Schwerin";"Kreise";"84,42";"97,93"
"13071";"Mecklenburgische Seenplatte";"Kreise";"75,04";"74,82"
"13072";"Landkreis Rostock";"Kreise";"73,58";"66,80"
"13073";"Vorpommern-Rügen";"Kreise";"80,47";"90,62"
"13074";"Nordwestmecklenburg";"Kreise";"62,57";"72,67"
"13075";"Vorpommern-Greifswald";"Kreise";"79,74";"76,66"
"13076";"Ludwigslust-Parchim";"Kreise";"61,29";"77,07"
"14511";"Chemnitz, Stadt";"Kreise";"78,08";"98,62"
"14521";"Erzgebirgskreis";"Kreise";"57,21";"90,20"
"14522";"Mittelsachsen";"Kreise";"61,56";"86,27"
"14523";"Vogtlandkreis";"Kreise";"62,14";"87,84"
"14524";"Zwickau";"Kreise";"60,99";"91,85"
"14612";"Dresden, Stadt";"Kreise";"82,38";"98,59"
"14625";"Bautzen";"Kreise";"62,91";"93,49"
"14626";"Görlitz";"Kreise";"66,22";"87,75"
"14627";"Meißen";"Kreise";"63,55";"84,49"
"14628";"Sächsische Schweiz-Osterzgebirge";"Kreise";"62,59";"88,67"
"14713";"Leipzig, Stadt";"Kreise";"85,03";"98,79"
"14729";"Leipzig";"Kreise";"65,69";"88,10"
"14730";"Nordsachsen";"Kreise";"68,60";"91,92"
"15001";"Dessau-Roßlau, Stadt";"Kreise";"71,35";"96,71"
"15002";"Halle (Saale), Stadt";"Kreise";"88,68";"95,08"
"15003";"Magdeburg, Landeshauptstadt";"Kreise";"84,82";"93,54"
"15081";"Altmarkkreis Salzwedel";"Kreise";"64,38";"89,07"
"15082";"Anhalt-Bitterfeld";"Kreise";"60,61";"89,94"
"15083";"Börde";"Kreise";"63,59";"90,48"
"15084";"Burgenlandkreis";"Kreise";"64,58";"94,12"
"15085";"Harz";"Kreise";"66,44";"87,42"
"15086";"Jerichower Land";"Kreise";"61,37";"93,14"
"15087";"Mansfeld-Südharz";"Kreise";"68,01";"88,37"
"15088";"Saalekreis";"Kreise";"64,64";"85,27"
"15089";"Salzlandkreis";"Kreise";"66,77";"87,67"
"15090";"Stendal";"Kreise";"68,52";"90,50"
"15091";"Wittenberg";"Kreise";"61,64";"78,21"
"16051";"Erfurt, Stadt";"Kreise";"86,30";"97,79"
"16052";"Gera, Stadt";"Kreise";"81,13";"95,76"
"16053";"Jena, Stadt";"Kreise";"77,32";"98,30"
"16054";"Suhl, Stadt";"Kreise";"78,03";"94,59"
"16055";"Weimar, Stadt";"Kreise";"85,91";"99,35"
"16061";"Eichsfeld";"Kreise";"58,32";"92,73"
"16062";"Nordhausen";"Kreise";"66,51";"92,40"
"16063";"Wartburgkreis";"Kreise";"49,93";"94,41"
"16064";"Unstrut-Hainich-Kreis";"Kreise";"67,28";"96,91"
"16065";"Kyffhäuserkreis";"Kreise";"61,37";"95,00"
"16066";"Schmalkalden-Meiningen";"Kreise";"60,35";"95,44"
"16067";"Gotha";"Kreise";"60,11";"97,11"
"16068";"Sömmerda";"Kreise";"54,04";"89,33"
"16069";"Hildburghausen";"Kreise";"51,75";"92,64"
"16070";"Ilm-Kreis";"Kreise";"56,52";"89,62"
"16071";"Weimarer Land";"Kreise";"63,79";"94,98"
"16072";"Sonneberg";"Kreise";"48,84";"92,35"
"16073";"Saalfeld-Rudolstadt";"Kreise";"61,07";"75,95"
"16074";"Saale-Holzland-Kreis";"Kreise";"57,82";"88,98"
"16075";"Saale-Orla-Kreis";"Kreise";"49,44";"91,99"
"16076";"Greiz";"Kreise";"55,07";"89,37"
"16077";"Altenburger Land";"Kreise";"60,38";"86,75"
